NAME,ADDRESS,POSTALCODE,DESCRIPTION
Dunearn Secondary ,21 Bukit Batok West Ave2  ,659204,Civil Defence Public Shelter (School)
Fajar Secondary ,31 Gangsa Road ,678972,Civil Defence Public Shelter (School)
Chestnut Drive Secondary (Former),58 Chestnut Drive ,679301,Civil Defence Public Shelter (School)
Teck Whye Secondary,31 Teck Whye Crescent ,688848,Civil Defence Public Shelter (School)
Unity Secondary,20 Choa Chu Kang Street 62 ,689143,Civil Defence Public Shelter (School)
Kranji Secondary ,61 Choa Chu Kang Street 51 ,689333,Civil Defence Public Shelter (School)
Bukit Panjang Govt. High ,7 Choa Chu Kang Avenue 4 ,689809,Civil Defence Public Shelter (School)
Admiralty Secondary,31 Woodlands Crescent ,737916,Civil Defence Public Shelter (School)
Woodlands Ring Secondary  ,10 Woodlands Ring Road  ,738239,Civil Defence Public Shelter (School)
Woodgrove Secondary,3 Woodlands Avenue 6 ,738990,Civil Defence Public Shelter (School)
Sembawang Secondary  ,30 Sembawang Crescent ,757704,Civil Defence Public Shelter (School)
Orchid Park Secondary,10 Yishun Street 81,768454,Civil Defence Public Shelter (School)
Northland Secondary ,3 Yishun Street 22,768578,Civil Defence Public Shelter (School)
Northbrook Secondary,585 Yishun Ring Road ,768692,Civil Defence Public Shelter (School)
