NAME,ADDRESS,POSTALCODE,DESCRIPTION
HDB,Blk 222 Bishan St 23 #B1-169 ,570222,Civil Defence Public Shelter (HDB)
HDB,Blk 223 Bishan St 23 #B1-145 ,570223,Civil Defence Public Shelter (HDB)
HDB,Blk 224 Bishan St 23 #B1-131 ,570224,Civil Defence Public Shelter (HDB)
HDB,Blk 225 Bishan St 23 #B1-119 ,570225,Civil Defence Public Shelter (HDB)
HDB,Blk 226 Bishan St 23 #B1-101 ,570226,Civil Defence Public Shelter (HDB)
HDB,Blk 227 Bishan St 23 #B1-79,570227,Civil Defence Public Shelter (HDB)
HDB,Blk 228 Bishan St 23 #B1-71 ,570228,Civil Defence Public Shelter (HDB)
HDB,Blk 229 Bishan St 23 #B1-53 ,570229,Civil Defence Public Shelter (HDB)
HDB,Blk 230 Bishan St 23 #B1-35,570230,Civil Defence Public Shelter (HDB)
HDB,Blk 231 Bishan St 23 #B1-05 ,570231,Civil Defence Public Shelter (HDB)
HDB,Blk 232 Bishan St 22 #B1-112 ,570232,Civil Defence Public Shelter (HDB)
HDB,Blk 233 Bishan St 22 #B1-134 ,570233,Civil Defence Public Shelter (HDB)
HDB,Blk 234 Bishan St 22 #B1-118 ,570234,Civil Defence Public Shelter (HDB)
HDB,Blk 235 Bishan St 22 #B1-144 ,570235,Civil Defence Public Shelter (HDB)
HDB,Blk 236 Bishan St 22 #B1-154 ,570236,Civil Defence Public Shelter (HDB)
HDB,Blk 237 Bishan St 22 #B1-176 ,570237,Civil Defence Public Shelter (HDB)
HDB,Blk 238 Bishan St 22 #B1-228 ,570238,Civil Defence Public Shelter (HDB)
HDB,Blk 239 Bishan St 22 #B1-202 ,570239,Civil Defence Public Shelter (HDB)
HDB,Blk 241 Bishan St 22 #B1-236 ,570241,Civil Defence Public Shelter (HDB)
HDB,Blk 242 Bishan St 22 #B1-266 ,570242,Civil Defence Public Shelter (HDB)
HDB,Blk 243 Bishan St 22 #B1-274 ,570243,Civil Defence Public Shelter (HDB)
HDB,Blk 245 Bishan St 22 #B1-320 ,570245,Civil Defence Public Shelter (HDB)
HDB,Blk 246 Bishan St 22 #B1-338,570246,Civil Defence Public Shelter (HDB)
HDB,Blk 248 Bishan St 22 #B1-360 ,570248,Civil Defence Public Shelter (HDB)
HDB,Blk 249 Bishan St 22 #B1-370 ,570249,Civil Defence Public Shelter (HDB)
HDB,Blk 250 Bishan St 22 #B1-384 ,570250,Civil Defence Public Shelter (HDB)
HDB,Blk 251 Bishan St 22 #B1-408 ,570251,Civil Defence Public Shelter (HDB)
HDB,Blk 253 Bishan St 22 #B1-428 ,570253,Civil Defence Public Shelter (HDB)
HDB,Blk 254 Bishan St 22 #B1-444 ,570254,Civil Defence Public Shelter (HDB)
HDB,Blk 255 Bishan St 22 #B1-462 ,570255,Civil Defence Public Shelter (HDB)
HDB,Blk 256 Bishan St 22 #B1-472 ,570256,Civil Defence Public Shelter (HDB)
HDB,Blk 257 Bishan St 22 #B1-327 ,570257,Civil Defence Public Shelter (HDB)
HDB,Blk 259 Bishan St 22 #B1-309,570259,Civil Defence Public Shelter (HDB)
HDB,Blk 260 Bishan St 22 #B1-295 ,570260,Civil Defence Public Shelter (HDB)
HDB,Blk 261 Bishan St 22 #B1-229 ,570261,Civil Defence Public Shelter (HDB)
HDB,Blk 262 Bishan St 22 #B1-287 ,570262,Civil Defence Public Shelter (HDB)
HDB,Blk 264 Bishan St 24 #B1-114 ,570264,Civil Defence Public Shelter (HDB)
HDB,Blk 268 Bishan St 24 #B1-170 ,570268,Civil Defence Public Shelter (HDB)
HDB,Blk 269 Bishan St 24 #B1-192 ,570269,Civil Defence Public Shelter (HDB)
HDB,Blk 270 Bishan St 24 #B1-198 ,570270,Civil Defence Public Shelter (HDB)
HDB,Blk 271 Bishan St 24 #B1-218 ,570271,Civil Defence Public Shelter (HDB)
HDB,Blk 272 Bishan St 24 #B1-228 ,570272,Civil Defence Public Shelter (HDB)
HDB,Blk 288 Bishan St 24 #01-11 ,570288,Civil Defence Public Shelter (HDB)
HDB,Blk 293 Bishan St 22 #01-83 ,570293,Civil Defence Public Shelter (HDB)
HDB,Blk 151 Yung Ho Road #B1-91 ,610151,Civil Defence Public Shelter (HDB)
HDB,Blk 152 Yung Ho Road #B1-03 ,610152,Civil Defence Public Shelter (HDB)
HDB,Blk 153 Yung Ho Road #B1-35 ,610153,Civil Defence Public Shelter (HDB)
HDB,Blk 154 Yung Ho Road #B1-51 ,610154,Civil Defence Public Shelter (HDB)
HDB,Blk 156 Yung Loh Road #01-12 ,610155,Civil Defence Public Shelter (HDB)
HDB,Blk 163 Yung Ping Rd #01-90 ,610163,Civil Defence Public Shelter (HDB)
HDB,Blk 323 Tah Ching Rd #01-62 ,610323,Civil Defence Public Shelter (HDB)
HDB,Blk 324 Tah Ching Rd #01-46 ,610324,Civil Defence Public Shelter (HDB)
HDB,Blk 332 Tah Ching Rd #01-169 ,610332,Civil Defence Public Shelter (HDB)
HDB,Blk 347 Kang Ching Road #01-145,610347,Civil Defence Public Shelter (HDB)
HDB,Blk 351 Corporation Drive #01-520 ,610351,Civil Defence Public Shelter (HDB)
HDB,Blk 353 Kang Ching Road #01-39 ,610353,Civil Defence Public Shelter (HDB)
HDB,Blk 359 Yung An Road #01-79 ,610359,Civil Defence Public Shelter (HDB)
HDB,Blk 362 Yung An Road #01-131 ,610362,Civil Defence Public Shelter (HDB)
HDB,Blk 368 Corporation Drive #01-465 ,610368,Civil Defence Public Shelter (HDB)
HDB,Blk 260 Boon Lay Drive #01-527 ,640260,Civil Defence Public Shelter (HDB)
HDB,Blk 263 Boon Lay Drive #01-583 ,640263,Civil Defence Public Shelter (HDB)
HDB,Blk 690 Jurong West Central 1 #01-193 ,640690,Civil Defence Public Shelter (HDB)
HDB,Blk 691 Jurong West Central 1 #01-185 ,640691,Civil Defence Public Shelter (HDB)
HDB,Blk 692 Jurong West Central 1 #01-81 ,640692,Civil Defence Public Shelter (HDB)
HDB,Blk 694 Jurong West Central 1 #01-191 ,640694,Civil Defence Public Shelter (HDB)
HDB,Blk 705 Jurong West St 71 #01-78 ,640705,Civil Defence Public Shelter (HDB)
